id;description;name;createdAt;updatedAt
1;;Feed Additives;2017-12-05 18:11:29.945+00;2017-12-05 18:11:29.945+00
2;;Dry Roughages;2017-12-05 18:11:34.156+00;2017-12-05 18:11:34.156+00
3;;Green Roughage and Silage;2017-12-05 18:12:01.823+00;2017-12-05 18:12:01.823+00
4;;NPN Sources;2017-12-05 18:12:15.611+00;2017-12-05 18:12:15.611+00
5;;Fats and Oils;2017-12-05 18:12:22.588+00;2017-12-05 18:12:22.588+00
6;;Amino Acids;2017-12-05 18:12:26.185+00;2017-12-05 18:12:26.185+00
7;;Grains and Grain By Products;2017-12-05 18:12:33.182+00;2017-12-05 18:12:33.182+00
8;;Vitamins;2017-12-05 18:13:06.95+00;2017-12-05 18:13:06.95+00
9;;Protein Sources;2017-12-05 18:13:13.787+00;2017-12-05 18:13:13.787+00
10;;Macro Mineral Sources;2017-12-05 18:13:50.572+00;2017-12-05 18:13:50.572+00
11;;Micro Mineral Sources;2017-12-05 18:14:52.421+00;2017-12-05 18:14:52.421+00
12;;Trace Mineral Premixes;2017-12-05 18:22:54.262+00;2017-12-05 18:22:54.262+00
